"subs","value"
"SCORESBY",392000
"SEAFORD",4840000
"SEBASTIAN",1286000
"SEBASTOPOL",1e+07
"SEYMOUR",17218500
"SHEPPARTON",123047000
"SOMERS",2184000
"SOMERVILLE",4e+06
"SOUTH GEELONG",7e+07
"SOUTH MELBOURNE",6e+06
"SOUTH YARRA",5e+05
"SOUTHBANK",0
"SPRINGVALE",1750000
"SPRINGVALE SOUTH",1500000
"ST ALBANS",2e+08
"ST KILDA",2.5e+07
"STATEWIDE",5639914000
"STONNINGTON",6630000
"STRATHMORE",5700000
"SUNBURY",53062000
"SUNSHINE",16299000
"SUNSHINE NORTH",1.5e+08
"SWAN HILL",1.8e+07
"TARNEIT",1e+07
"TATURA",18185000
"THE BASIN",5700000
"THORPDALE",1740000
"TIMBOON",5200000
"TOOBORAC",1582500
"TRARALGON",3182000
"TRUGANINA",7e+06
"TULLAMARINE",272800000
"TULLAROOP",10328000
"UPPER FERNTREE GULLY",2e+07
"VARIOUS",97844000
"VERMONT",2700000
"VIOLET TOWN",2170000
"WALLAN",35088500
"WANDONG",1320000
"WANGARATTA",15879000
"WANTIRNA SOUTH",16248000
"WARRAGUL",48291000
"WARRANDYTE",807000
"WARRNAMBOOL",29784000
"WATTLE GLEN",1500000
"WAURN PONDS",7455000
"WERRIBEE",912161000
"WESTMEADOWS",71803000
"WHEELERS HILL",797000
"WHITTINGTON",5e+06
"WHITTLESEA",11747000
"WODONGA",5061000
"WONTHAGGI",8201000
"WOODEND",1426000
"WYNDHAM VALE",4800000
"YALLOURN NORTH",6385000
"YARRA JUNCTION",2e+06
"YARRA RANGES",8e+05
"YARRAVILLE",3088000
"YARRAWONGA",7616000
"YEA",3530000
"VARIOUS",823482000
